id,id,is_prog,label_true,labels_pred,title,link,freq
25198774,25198774,True,1,171,Программист 1C,https://hh.ru/vacancy/25198774,127
22041037,22041037,True,1,171,Программист 1C,https://hh.ru/vacancy/22041037,127
25184741,25184741,True,1,171,Программист 1C 8,https://hh.ru/vacancy/25184741,127
22787843,22787843,True,1,171,Программист,https://hh.ru/vacancy/22787843,127
22728557,22728557,True,1,171,Программист 1С,https://hh.ru/vacancy/22728557,127
22105789,22105789,True,1,171,Программист 1C,https://hh.ru/vacancy/22105789,127
20325437,20325437,True,1,171,Программист 1С,https://hh.ru/vacancy/20325437,127
20355887,20355887,True,1,171,Программист-консультант 1C,https://hh.ru/vacancy/20355887,127
25219342,25219342,True,1,171,Программист 1C,https://hh.ru/vacancy/25219342,127
22744042,22744042,True,1,171,Программист 1С,https://hh.ru/vacancy/22744042,127
24448922,24448922,True,1,171,Программист 1С,https://hh.ru/vacancy/24448922,127
27568084,27568084,True,1,171,Программист 1С,https://hh.ru/vacancy/27568084,127
20453472,20453472,True,1,171,Программист 1С,https://hh.ru/vacancy/20453472,127
27540167,27540167,True,1,171,Старший программист 1С,https://hh.ru/vacancy/27540167,127
21945038,21945038,True,1,171,Программист,https://hh.ru/vacancy/21945038,127
22870234,22870234,True,1,171,Помощник программиста 1С,https://career.ru/vacancy/22870234,127
26003284,26003284,True,1,171,Начинающий программист 1С,https://career.ru/vacancy/26003284,127
20473839,20473839,True,1,171,Программист 1С,https://hh.ru/vacancy/20473839,127
22812682,22812682,True,1,171,Программист 1С,https://hh.ru/vacancy/22812682,127
22803548,22803548,True,1,171,Программист 1С,https://hh.ru/vacancy/22803548,127
24391075,24391075,True,1,171,Ведущий программист 1с,https://hh.ru/vacancy/24391075,127
20431522,20431522,True,1,171,Программист 1C,https://hh.ru/vacancy/20431522,127
23573131,23573131,True,1,171,Ведущий программист 1С,https://hh.ru/vacancy/23573131,127
20205869,20205869,True,1,171,Программист 1С / Консультант 1С,https://hh.ru/vacancy/20205869,127
20207656,20207656,True,1,171,Программист 1С,https://hh.ru/vacancy/20207656,127
23771362,23771362,True,1,171,Ведущий инженер-программист,https://hh.ru/vacancy/23771362,127
24175450,24175450,True,1,171,Программист 1С,https://hh.ru/vacancy/24175450,127
20187076,20187076,True,1,171,Программист 1С,https://hh.ru/vacancy/20187076,127
25762582,25762582,True,1,171,Программист 1С,https://hh.ru/vacancy/25762582,127
25765538,25765538,True,1,171,Ведущий программист 1С,https://hh.ru/vacancy/25765538,127
20152840,20152840,True,1,171,Программист 1C (Альфа-Авто),https://hh.ru/vacancy/20152840,127
